Branch Code,Branch Name,Supplier Code,SKU Code,Item Name,Measuring Unit,Quantity,Delivery Date
CA-014,ambience mall,WH-001,1083686,Korean Bun_SAB,No,4,2025-04-06
CA-014,ambience mall,WH-001,2296766,Gochujang Three Pepper Brioche Bun,No,3,2025-04-06
CA-014,ambience mall,WH-001,1340361,"Roasted Tomatoes, Mozzarella, Homemade Pesto Sauce Croisstata",No,3,2025-04-06
CA-014,ambience mall,WH-001,2296763,Marble Tea Cake,No,3,2025-04-06
CA-014,ambience mall,WH-001,1340359,Traditional Butter Croissant,No,2,2025-04-06
CA-014,ambience mall,WH-001,1340353,Pain Au Chocolat,No,2,2025-04-06
CA-014,ambience mall,WH-001,2296762,Banana Bread,No,2,2025-04-06
CA-014,ambience mall,WH-001,1340320,"Almond,Oats And Choco Chip Cookies",No,2,2025-04-06
CA-014,ambience mall,WH-001,1340330,Chocolate & Salted Caramel Croissant,No,2,2025-04-06
CA-014,ambience mall,WH-001,1340350,Mushroom Cream Cheese Croisstata,No,2,2025-04-06
CA-014,ambience mall,WH-001,2296768,Blueberry Cheesecake Brioche Bun,No,1,2025-04-06
CA-014,ambience mall,WH-001,1340331,Chocolate Hazelnut Croissant,No,1,2025-04-06
CA-014,ambience mall,WH-001,1340339,Everything Bagel,No,1,2025-04-06
CA-014,ambience mall,WH-001,1340323,Barbecue Chicken Croissant,No,1,2025-04-06
CA-014,ambience mall,WH-001,2296764,Pistachio Orange Marmalade Tea cake,No,1,2025-04-06
CA-014,ambience mall,WH-001,1340321,Almond Croissant,No,1,2025-04-06
CA-014,ambience mall,WH-001,1605973,Mocha Brownie,No,1,2025-04-06
CA-014,ambience mall,WH-001,1083700,Basque Cheesecake Slice,No,1,2025-04-06
CA-014,ambience mall,WH-001,2296765,Creamy Bechamel Chicken Brioche Bun,No,1,2025-04-06
CA-014,ambience mall,WH-001,1340349,Morning Bun,No,1,2025-04-06
CA-014,ambience mall,WH-001,1340356,Pistachio & Raspberry Croissant,No,1,2025-04-06
CA-014,ambience mall,WH-001,1340364,Smoked Chicken Ham & Cheese Croissant,No,1,2025-04-06
CA-014,ambience mall,RO-002,255627,Ms Estate (250 gms),No,1,2025-04-06
